"Unnamed_0","Indice_de_la_production_industrielle_des_produits_alimentaires","Indice_de_la_production_industrielle","Indice_des_prix_a_la_consommation","Indice_des_prix_de_la_fonction_alimentation","Indice_des_prix_de_la_fonction_Transport","Indice_des_prix_de_la_fonction_Loisirs","Taux_d_inflation_en_glissement_annuel_de_la_fonction_alimentation","Taux_d_inflation_en_glissement_annuel_de_la_fonction_alimentation_1","Taux_d_inflation_en_glissement_annuel_de_la_fonction_Loisirs","PIB_a_prix_constant"
"2005-01-01","116.37","100.76","83.2","74.1","74.4","101.0","2.0","2.0","-0.62","6888.61"
"2005-02-01","133.22","108.16","83.3","74.8","74.1","101.0","2.01","2.01","-0.74","6888.61"
"2005-03-01","186.66","142.86","83.0","74.0","74.5","101.0","1.25","1.25","-0.65","6888.61"
"2005-04-01","167.58","129.56","82.7","73.5","74.6","101.2","2.1","2.1","-0.52","6888.61"
"2005-05-01","156.56","125.51","82.9","73.7","75.4","101.2","2.79","2.79","-0.51","6888.61"
"2005-06-01","148.96","123.54","83.6","75.2","75.8","100.7","5.14","5.14","-0.79","6888.61"
"2005-07-01","101.01","108.16","84.9","77.9","76.3","100.7","4.8","4.8","-0.53","6888.61"
"2005-08-01","123.67","110.38","85.9","79.5","76.9","100.8","4.63","4.63","-0.37","6888.61"
"2005-09-01","105.84","100.23","86.9","81.3","78.6","100.8","7.28","7.28","-0.45","6888.61"
"2005-10-01","87.18","93.2","88.2","83.1","83.8","100.9","8.82","8.82","-0.46","6888.61"
"2005-11-01","109.22","99.5","85.8","77.9","83.6","100.7","3.69","3.69","-0.63","6888.61"
"2005-12-01","128.02","101.25","84.9","76.4","82.4","100.7","1.84","1.84","-0.48","6888.61"
"2006-01-01","109.04","109.85","84.8","75.4","82.3","102.1","1.74","1.74","1.05","7049.17"
"2006-02-01","118.82","100.67","85.1","76.3","82.9","103.6","2.07","2.07","2.63","7049.17"
"2006-03-01","143.43","100.18","85.6","77.2","83.2","102.0","4.21","4.21","0.99","7049.17"
"2006-04-01","151.3","93.45","85.3","76.5","83.6","102.1","4.09","4.09","0.88","7049.17"
"2006-05-01","156.41","104.26","84.5","74.6","84.1","102.0","1.19","1.19","0.82","7049.17"
"2006-06-01","143.19","95.79","84.9","75.0","84.1","102.0","-0.17","-0.17","1.33","7049.17"
"2006-07-01","112.77","82.29","86.0","77.0","84.5","102.0","-1.09","-1.09","1.3","7049.17"
"2006-08-01","131.61","86.9","87.0","79.0","85.0","102.0","-0.67","-0.67","1.18","7049.17"
"2006-09-01","99.51","73.95","88.0","80.9","85.3","102.7","-0.46","-0.46","1.88","7049.17"
"2006-10-01","117.12","90.71","88.9","81.6","85.2","102.8","-1.75","-1.75","1.87","7049.17"
"2006-11-01","120.36","95.14","88.5","80.5","84.8","102.8","3.42","3.42","2.07","7049.17"
"2006-12-01","142.46","102.24","88.3","79.9","84.0","102.8","4.64","4.64","2.07","7049.17"
